"schoolyear","category","value","label"
"2014-15","0-3 years",41.7808219178082,"41.8"
"2014-15","4-10 years",31.7808219178082,"31.8"
"2014-15","11-20 years",18.2191780821918,"18.2"
"2014-15","20+ years",8.21917808219178,"8.2"
"2015-16","0-3 years",42.6048565121413,"42.6"
"2015-16","4-10 years",29.635761589404,"29.6"
"2015-16","11-20 years",20.8609271523179,"20.9"
"2015-16","20+ years",6.89845474613687,"6.9"
"2016-17","0-3 years",40.8049189491336,"40.8"
"2016-17","4-10 years",31.0229178311906,"31.0"
"2016-17","11-20 years",19.7875908328675,"19.8"
"2016-17","20+ years",8.38457238680827,"8.4"
"2017-18","0-3 years",34.3292325717633,"34.3"
"2017-18","4-10 years",36.4967779730521,"36.5"
"2017-18","11-20 years",20.9138840070299,"20.9"
"2017-18","20+ years",8.26010544815466,"8.3"
"2018-19","0-3 years",34.4281524926686,"34.4"
"2018-19","4-10 years",38.5923753665689,"38.6"
"2018-19","11-20 years",18.475073313783,"18.5"
"2018-19","20+ years",8.50439882697947,"8.5"
"2019-20","0-3 years",36.3128491620112,"36.3"
"2019-20","4-10 years",38.2371198013656,"38.2"
"2019-20","11-20 years",18.8081936685289,"18.8"
"2019-20","20+ years",6.64183736809435,"6.6"
"2020-21","0-3 years",37.7049180327869,"37.7"
"2020-21","4-10 years",36.3934426229508,"36.4"
"2020-21","11-20 years",18.1639344262295,"18.2"
"2020-21","20+ years",7.73770491803279,"7.7"
"2021-22","0-3 years",33.1772575250836,"33.2"
"2021-22","4-10 years",41.3377926421405,"41.3"
"2021-22","11-20 years",19.1973244147157,"19.2"
"2021-22","20+ years",6.2876254180602,"6.3"
"2022-23","0-3 years",34.2055185537583,"34.2"
"2022-23","4-10 years",43.0542340627973,"43.1"
"2022-23","11-20 years",16.4129400570885,"16.4"
"2022-23","20+ years",6.32730732635585,"6.3"
"2023-24","0-3 years",35.1134215500945,"35.1"
"2023-24","4-10 years",39.7920604914934,"39.8"
"2023-24","11-20 years",18.8090737240076,"18.8"
"2023-24","20+ years",6.28544423440454,"6.3"
"2024-25","0-3 years",32.5914935707221,"32.6"
"2024-25","4-10 years",38.0316518298714,"38.0"
"2024-25","11-20 years",22.1562809099901,"22.2"
"2024-25","20+ years",7.22057368941642,"7.2"
"2025-26","0-3 years",30.7468477206596,"30.7"
"2025-26","4-10 years",38.9427740058196,"38.9"
"2025-26","11-20 years",22.2114451988361,"22.2"
"2025-26","20+ years",8.09893307468477,"8.1"
